,0
f_last,19076.794618105887
f_n45,8248.27966799736
f_n60,6989.471471261978
f_swap_frac,5160.64215593338
f_n_clean,4040.763424825668
f_n30,2492.678574991226
f_due_minus_min,2081.1724598407745
oth_min_due,1832.9920057296754
f_first,1768.4153495788573
f_due,1765.0145810842514
f_due_rank,1573.9151611804962
f_nref_frac,1431.9955986022949
f_span,1428.753110408783
f_noise_score,1363.6783680915833
due_minus_oth_min,1343.4282739162445
ref_rec_named,1340.2539457798005
f_last_gap,1155.3238118648528
fam_id,1038.2209325313568
f_ref_last,994.7592070102692
f_amt_range,983.5115579128266
f_overdue,934.3944467067719
min_due,924.1783058643341
f_last_amt_dev,890.739751625061
f_last_amt_absdev,884.6825063705444
f_amt_cv,863.1711737155914
oth_n_active,781.6513233184814
n_ref180,775.205180644989
f_frac_noisy,748.7547577857971
f_logamt,709.8536883831024
f_max_gap,706.5556734323502
oth_sum_n,689.5063995361328
f_due_mean,681.2294311523438
oth_max_n90,672.1681931495666
f_max_absdev,671.5908659458161
oth_max_n,664.1636992454529
f_gap_std,658.5490509033203
f_amt_slope,657.3466252803803
amb5812_first,650.7217832565308
f_frac_generic,641.1311082363129
f_n_outlier,638.3370944976807
f_n_missed,625.3229411125183
f_n,606.6745818138122
f_last_gap_ratio,595.9614995956421
amb5812_last,585.7100590229035
f_medgap,495.68292632102964
f_meangap,476.95710186958314
out_sum,471.92031083106997
n_noise,470.35039868354795
max_last_active,456.4137942314148
f_min_gap,443.72614150047303
f_n_desc,426.50765733718873
f_cov90,423.72143375873566
f_nref60,395.21763453483584
f_dom_std,393.41612644195556
f_n_named,391.1445556640625
salary_sum,383.6628252983093
f_reg,371.6246187210083
last_txn,369.123197889328
f_swap_last1,356.16400198936464
n_refund,355.0474977016449
n_cand,336.1060001373291
first_txn,331.4165089607239
max_n_active,331.020316362381
f_last_rank,329.88140478134153
fee_sum,328.22237558364867
f_frac_gen_exact,309.044664311409
n_txn180,304.77475233078
f_fee_frac,298.49062819480895
f_nref,281.2611423492432
n_nonrec,259.2772865056992
n_txn30,255.41638088226318
f_n180,221.93508853912354
unknown_first,221.38553371429444
amb5812_frac_gen_exact,217.8175601243973
ref_nonrec,211.78738570213318
f_n90,209.69332971572877
n_txn90,198.18982186317444
amb5812_logamt,198.15682594776155
n_txn,196.54903016090392
unknown_last,194.48804211616516
n_ref90,189.1518557548523
amb5812_ref_last,181.5593048095703
unknown_logamt,175.62548012733458
n_txn60,171.7483774662018
n_p2p_transfer,165.2730743408203
n_topup,159.26158628463745
n_transfer,156.46260209083556
n_card_payment,154.93049211502074
f_cur_last_diff,143.82727761268615
n_in,142.11276416778566
amb5812_n45,125.90010213851929
f_noisy_last3,116.03033356666565
f_generic_last3,112.87901177406312
n_ref60,109.49363522529602
n_atm,108.96576638221741
n_fee,100.5893660545349
unknown_frac_gen_exact,96.99703979492188
f_n_noisy,95.11927990913391
n_feepos,93.6380440235138
f_n_rank,87.82333602905274
f_swap_last3,86.00329985618592
main_cur,82.19644041061402
f_n_swap,79.0864821434021
n_fam_present,78.01373405456543
amb5812_span,77.23107237815857
n_ref30,76.81610364913941
amb5812_amt_cv,74.84822611808777
amb5812_last_amt_dev,74.15156626701355
f_ref_after_last,72.91841607093811
amb5812_nref,68.26397414207459
n_active,67.7961503982544
unknown_ref_last,63.17793984413147
amb5812_medgap,58.5442617893219
amb5812_last_gap,56.547055864334105
amb5812_max_gap,54.459423780441284
amb5812_n180,52.85334959030151
amb5812_nref_frac,51.61709613800049
amb5812_last_amt_absdev,51.51741013526917
amb5812_n30,47.935698413848876
unknown_nref,47.56130962371826
unknown_last_amt_absdev,44.9228597164154
amb5812_frac_noisy,42.27009396553039
amb5812_min_gap,39.36794981956482
amb5812_overdue,38.489664268493655
amb5812_n60,38.20636625289917
amb5812_dom_std,36.897215604782104
unknown_span,36.644186067581174
unknown_frac_noisy,31.7204381942749
amb5812_due_mean,31.040769720077513
amb5812_amt_range,30.26134581565857
amb5812_gap_std,30.129396152496337
unknown_amt_cv,29.63103175163269
amb5812_amt_slope,29.440931940078734
f_n_dup,28.494496059417724
unknown_dom_std,28.247096133232116
amb5812_max_absdev,27.886052131652832
unknown_min_gap,27.400040316581727
unknown_amt_range,25.586518001556396
amb5812_meangap,25.066061878204344
