feature,importance
maximum_phase_due7,0.10631859708583104
minimum2_core_active_n_1.2,0.10624694368410036
maximum_core_n270,0.10471725005015284
own_recentcore_phase_strength30,0.1046774746247301
rank_recentcore_linear_due3,0.10365944568232827
maximum_core_active_n_2.0,0.10302677625680015
minimum2_phase_due365,0.1028821754957597
minimum2_recentcore_phase_strength30,0.10211228049831132
delta_from_minimum_recentcore_age5,0.10190898525840282
own_recentcore_n,0.10106367756192336
own_core_phase_strength60,0.10074800187682084
rank_core_active_due_1.2,0.10051438214559814
rank_recentcore_last_due90,0.09990663341960944
rank_core_overdue_gap_mean,0.09829242332532
delta_from_minimum_core_gap3,0.09795727383798224
delta_from_minimum_core_phase_strength7,0.09777877689113827
delta_from_minimum_core_cadence_due,0.09771479655604175
delta_from_minimum_core_amount_last_delta,0.09754172617422215
maximum_core_active_due_2.0,0.096826674186003
delta_from_minimum_text_confidence,0.09658524908249316
minimum1_core_phase_due60,0.09601141345678182
own_generic_fraction,0.09593012054715137
maximum_recentcore_phase_due365,0.09392151616845293
own_recentcore_gap_med,0.09354500672950537
own_age1,0.0929100659401042
minimum1_recentcore_gap_last,0.09288290969988962
own_cadence_error,0.09281988691263156
delta_from_minimum_core_age,0.09232797181344181
own_recentcore_active_n_2.0,0.09140996201749833
own_core_due_gap_recent,0.09101197135192901
delta_from_minimum_recentcore_active_due_1.2,0.09064239402029511
minimum1_recentcore_amount_slope,0.09015990028389191
delta_from_minimum_recentcore_phase_strength7,0.09014089710417332
delta_from_minimum_amount_range,0.08997522651376227
delta_from_minimum_mcc_7997,0.08983387432684359
maximum_age2,0.08896876081926576
rank_core_cadence_last_due,0.08851464208232394
minimum1_active_n_1.2,0.08847943752445112
delta_from_minimum_recentcore_phase_due7,0.08841737928882129
own_recentcore_phase_due14,0.08717661676738245
delta_from_minimum_recentcore_amount_mean,0.08697333642175525
delta_from_minimum_amount_slope,0.08631612778428199
maximum_gap4,0.08524829641299406
own_phase_due365,0.08518043948253202
own_mcc_5732,0.08284812071491394
delta_from_minimum_core_n180,0.08206869853936477
own_linear_error8,0.08193009437243988
minimum2_text_confidence,0.08121417513937554
rank_recentcore_last_due7,0.08101425980820076
minimum3_core_linear_due5,0.08060820411091284
minimum1_gap_error30,0.08023556955997778
delta_from_minimum_age5,0.07998260753111919
own_core_phase_due60,0.07958847794641086
own_gap4,0.07938468715244422
rank_core_amount_delta,0.07924027127591945
own_core_amount_cv,0.0791459095424522
maximum_recentcore_phase_strength90,0.07884562543851974
maximum_core_age4,0.0782228309950642
own_gap_error365,0.07791108467124408
minimum2_linear_error3,0.07787487105421818
rank_core_age,0.0774865747395815
delta_from_minimum_amount_delta,0.07726134206121459
own_recentcore_n120,0.07698323592787891
maximum_recentcore_phase_due90,0.07689114624097841
maximum_phase_due30,0.07673873003172926
maximum_amount_cv,0.07654907802354652
delta_from_minimum_gap_error14,0.07643303649637843
minimum3_core_amount_mad,0.07625245557938556
own_core_phase_strength90,0.07618951843685104
delta_from_minimum_core_phase_strength90,0.0758135241119495
delta_from_minimum_recentcore_last_due30,0.0756909547398411
own_phase_strength60,0.07559231564003234
minimum1_core_phase_strength60,0.07551137619944329
own_core_age2,0.07543019317730691
own_recentcore_phase_due60,0.07542509638832447
